position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
Emperor,Naruhito,Q217096,2019-05-01,male,1960-02-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20Naruhito%20and%20Empress%20Masako%20%28cropped%29.jpg
Prime Minister,Fumio Kishida,Q359480,2021-10-04,male,1957-07-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fumio%20Kishida%2020211004.jpg
"Minister of Economy, Trade and Industry",Koichi Hagiuda,Q6426211,2021-10-04,male,1963-08-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Koichi%20Hagiuda%20201608.jpg
Minister of Finance,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shunichi%20Suzuki%20cropped%202%20Shunichi%20Suzuki%20and%20Yukiya%20Amano%2020130701.jpg
Minister of State for Consumer Affairs and Food Safety,Kenji Wakamiya,Q6389383,2021-10-04,male,1961-09-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wakamiya%20Kenji.jpg
Minister of State for Disaster Management,Satoshi Ninoyu,Q7426414,2021-10-04,male,1944-09-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/06ninoyu.jpg
Minister of State for Economic and Fiscal Policy,Daishiro Yamagiwa,Q5209617,2021-10-04,male,1968-09-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/211005yamagiwa.png
Minister of State for Financial Services,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shunichi%20Suzuki%20cropped%202%20Shunichi%20Suzuki%20and%20Yukiya%20Amano%2020130701.jpg
Minister of State for Nuclear Emergency Preparedness,Tsuyoshi Yamaguchi,Q704345,2021-10-04,male,1954-10-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tsuyoshi%20Yamaguchi%20cropped.jpg
Minister of State for Okinawa and Northern Territories Affairs,Kosaburo Nishime,Q11629931,2021-10-04,male,1954-08-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/98%20nishime%20kousaburou.jpg
Minister of State for the Promotion of Overcoming Population Decline and Vitalizing Local Economy in Japan,Seiko Noda,Q459698,2021-10-04,female,1960-09-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seiko%20Noda%2020171101.jpg
Chief Cabinet Secretary,Hirokazu Matsuno,Q5770251,2021-10-04,male,1962-09-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hirokazu%20Matsuno.jpg
Chief Justice,Naoto Ōtani,Q11439136,2018-01-01,male,1952-06-23,11,,,
Director of Cabinet Intelligence,Hiroaki Takizawa,Q69634994,2019-09-11,male,1959-01-01,9,,,
Superintendent General,Yoshihiko Oishi,Q92672207,2021-09-16,male,,,,,
Commissioner for Cultural Affairs,Shunichi Tokura,Q11643484,2021-04-01,male,1948-06-21,11,,,
Governor of the Bank of Japan,Haruhiko Kuroda,Q5244721,2013-03-20,male,1944-10-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Haruhiko%20Kuroda%20at%20ADB%20Philippines%20%28crop%29.jpg
President of the House of Councillors,Akiko Santō,Q3546202,2019-08-01,female,1942-05-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Delega%C3%A7%C3%A3o%20oficial%20da%20C%C3%A2mara%20dos%20Conselheiros%20do%20Jap%C3%A3o%20%2849363497538%29.jpg
Speaker of the House of Representatives,Tadamori Oshima,Q49998,2015-04-21,male,1946-09-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%27s%20Birthsday%20Party%202016%20%2826830017170%29.jpg
Speaker of the House of Representatives,Hiroyuki Hosoda,Q1133192,2021-11-10,male,1944-04-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroyuki%20Hosoda%20in%20New%20Delhi%20on%2023%20September%202016.jpg
Governor of Aichi Prefecture,Hideaki Ōmura,Q1617350,2011-02-15,male,1960-03-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hideaki%20Omura%20%282014.03.23%29%205.jpg
Governor of Akita Prefecture,Norihisa Satake,Q438468,2009-04-20,male,1947-11-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Satake%20Norihisa%201-1.jpg
Governor of Aomori Prefecture,Shingo Mimura,Q174982,2003-06-29,male,1956-04-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%97%A5%E6%9C%AC%E9%9D%92%E6%A3%AE%E7%B8%A3%E7%9F%A5%E4%BA%8B%E4%B8%89%E6%9D%91%E7%94%B3%E5%90%BE.jpg
Governor of Chiba Prefecture,Toshihito Kumagai,Q11568706,2021-04-05,male,1978-02-18,11,,,
Governor of Ehime Prefecture,Tokihiro Nakamura,Q2438992,2010-12-01,male,1960-01-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tokihiro%20Nakamura%202013-02-01.JPG
Governor of Fukui Prefecture,Tatsuji Sugimoto,Q67498535,2019-04-23,male,1962-01-01,9,,,
Governor of Fukuoka Prefecture,Seitaro Hattori,Q95162957,2021-04-11,male,1954-01-01,9,,,
Governor of Fukushima Prefecture,Masao Uchibori,Q17989197,2014-11-12,male,1964-03-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Masao%20Uchibori%20cropped%202%20Shin%20Maruo%20Elena%20Buglova%20and%20Masao%20Uchibori%2020130527.jpg
Governor of Gifu Prefecture,Hajime Furuta,Q982638,2005-02-06,male,1947-09-13,11,,,
Governor of Gunma Prefecture,Ichita Yamamoto,Q1655599,2019-07-28,male,1958-01-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ichita%20Yamamoto%2C%2020191206.jpg
Governor of Hiroshima Prefecture,Hidehiko Yuzaki,Q1485068,2009-11-29,male,1965-10-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hidehiko%20Yuzaki%20cropped%203%20Hidehiko%20Yuzaki%20and%20Toshiro%20Ozawa%2020121102.jpg
Governor of Hokkaidō Prefecture,Naomichi Suzuki,Q11649100,2019-04-23,male,1981-03-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20Naomichi%20Suzuki%20in%202020.jpg
Governor of Hyōgo Prefecture,Motohiko Saitō,Q107917854,2021-08-01,male,1977-11-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%96%8E%E8%97%A4%E5%85%83%E5%BD%A6.jpg
Governor of Ibaraki Prefecture,Kazuhiko Ōigawa,Q38081041,2017-09-26,male,1964-04-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kazuhiko%20Oigawa%2C%2020191206.jpg
Governor of Ishikawa Prefecture,Masanori Tanimoto,Q982469,1994-03-27,male,1945-04-16,11,,,
Governor of Iwate Prefecture,Takuya Tasso,Q49869,2007-04-08,male,1964-06-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tasso%20Takuya%20%282010%29.JPG
Governor of Kagawa Prefecture,Keizō Hamada,Q1738107,2010-09-05,male,1952-01-10,11,,,
Governor of Kagoshima Prefecture,Kōichi Shiota,Q97291648,2020-07-28,male,1965-10-15,11,,,
Governor of Kanagawa Prefecture,Yūji Kuroiwa,Q655960,2011-04-23,male,1954-09-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20Kanagawa%20Yuji%20Kuroiwa.%20In%20the%20case%20of%20an%20electric%20bus%20test%20ride%2C%20I%20photographed%20it%20at%20Fureiyu.JPG
Governor of Kumamoto Prefecture,Ikuo Kabashima,Q1658176,2008-04-16,male,1947-01-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ikuo%20Kabashima%2020090523.jpg
Governor of Kyoto,Takatoshi Nishiwaki,Q50824931,2018-04-16,male,1955-07-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Takatoshi%20Nishiwaki%20IMG%200884-28%2020181111.jpg
Governor of Kōchi Prefecture,Seiji Hamada,Q80073979,2019-12-07,male,1963-01-23,11,,,
Governor of Mie Prefecture,Katsumi Ichimi,Q100454684,2021-09-14,male,,,,,
Governor of Miyagi Prefecture,Yoshihiro Murai,Q377940,2005-11-21,male,1960-08-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Miyagi%20Prefecture%20Governor%20Yoshihiro%20Murai%20%28%E6%9D%91%E4%BA%95%E5%98%89%E6%B5%A9%20%29%20at%202011%20MOD%20seminar.jpg
Governor of Miyazaki Prefecture,Shunji Kōno,Q1804854,2011-01-21,male,1964-09-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20Miyazaki%20Syunji%20Kouno.%20In%20the%20case%20of%20a%20symposium%20of%20the%20Kojiki%2C%20I%20photographed%20it%20at%20Meiji%20university.jpg
Governor of Nagano Prefecture,Shuichi Abe,Q2280320,2010-08-01,male,1960-12-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/ABE%20Syuichi%202011.jpg
Governor of Nagasaki Prefecture,Hōdō Nakamura,Q52349,2010-03-02,male,1950-11-29,11,,,
Governor of Nara Prefecture,Shōgo Arai,Q1247261,2007-05-03,male,1945-01-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Governor%20Nara%20sougo%20Arai.%20In%20the%20case%20of%20a%20symposium%20of%20the%20Kojiki%2C%20I%20photographed%20it%20at%20Meiji%20university.jpg
Governor of Niigata Prefecture,Hideyo Hanazumi,Q54913364,2018-06-10,male,1958-05-22,11,,,
Governor of Ōita Prefecture,Katsusada Hirose,Q1736802,2003-04-28,male,1942-06-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/20160908%E5%A4%A7%E5%88%86%E7%B8%A3%E5%BB%A3%E7%80%A8%E5%8B%9D%E8%B2%9E%E7%9F%A5%E4%BA%8B.jpg
Governor of Osaka Prefecture,Hirofumi Yoshimura,Q21529384,2019-04-08,male,1975-06-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hirofumi%20Yoshimura.jpg
Governor of Okayama Prefecture,Ryūta Ibaragi,Q11379176,2012-11-12,male,1966-07-29,11,,,
Governor of Okinawa Prefecture,Denny Tamaki,Q11572466,2018-10-04,male,1959-10-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Denny%20Tamaki%20%282018%29.jpg
Governor of Saga Prefecture,Yoshinori Yamaguchi,Q18818272,2015-01-14,male,1965-07-01,11,,,
Governor of Saitama Prefecture,Motohiro Ōno,Q6140287,2019-01-01,male,1963-11-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Motohiro%20Ono%20201210.jpg
Governor of Shiga Prefecture,Taizo Mikazuki,Q7676684,2014-07-20,male,1971-05-24,11,,,
Governor of Shimane Prefecture,Tatsuya Maruyama,Q64783824,2019-04-30,male,1970-01-01,9,,,
Governor of Shizuoka Prefecture,Heita Kawakatsu,Q1505020,2009-07-07,male,1948-08-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heita%20Kawakatsu%20cropped%202%20Heita%20Kawakatsu%2020140831.jpg
Governor of Tochigi Prefecture,Tomikazu Fukuda,Q455915,2004-12-09,male,1953-05-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tomikazu%20Fukuda%2C%2020191206.jpg
Governor of Tokushima Prefecture,Kamon Iizumi,Q1670854,2003-05-18,male,1960-07-29,11,,,
Governor of Tokyo,Yuriko Koike,Q261703,2016-08-02,female,1952-07-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Koike%20Yuriko%20%282019%29.jpg
Governor of Tottori Prefecture,Hirai Shinji,Q1326985,2007-04-13,male,1961-09-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shinji%20Hirai.jpg
Governor of Toyama Prefecture,Hachiro Nitta,Q50640705,2020-11-09,male,1958-08-27,11,,,
Governor of Wakayama Prefecture,Yoshinobu Nisaka,Q453168,2006-12-17,male,1950-10-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Yoshinobu%20Nisaka-20070215.jpg
Governor of Yamagata Prefecture,Mieko Yoshimura,Q529418,2009-02-14,female,1951-05-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/20160519%E5%90%89%E6%9D%91%E7%BE%8E%E6%A6%AE%E5%AD%90.jpg
Governor of Yamaguchi Prefecture,Tsugumasa Muraoka,Q15830756,2014-02-25,male,1972-12-07,11,,,
Governor of Yamanashi Prefecture,Kotaro Nagasaki,Q6433881,2019-02-17,male,1968-08-18,11,,,
