ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
38,Q50779623,Term for House of Representatives 38th general election,,,,,,,,,,,,,,,,,Q50779378,Term for House of Representatives 39th general election
39,Q57313439,Q57313439,,,,,,,,,,,,,,,Q57313460,Q57313460,Q41893001,Term for House of Representatives 40th general election
38,Q57313460,Q57313460,,,,,,,,,,,,,,,Q57313470,Q57313470,Q57313439,Q57313439
37,Q57313470,Q57313470,,,,,,,,,,,,,,,Q57313926,Q57313926,Q57313460,Q57313460
1,Q57313477,Q57313477,,,,,,,,,,,,,,,,,Q57313485,Q57313485
2,Q57313485,Q57313485,,,,,,,,,,,,,,,Q57313477,Q57313477,Q57313515,Q57313515
3,Q57313515,Q57313515,,,,,,,,,,,,,,,Q57313485,Q57313485,Q57313522,Q57313522
4,Q57313522,Q57313522,,,,,,,,,,,,,,,Q57313515,Q57313515,Q57313550,Q57313550
5,Q57313550,Q57313550,,,,,,,,,,,,,,,Q57313522,Q57313522,Q57313570,Q57313570
6,Q57313570,Q57313570,,,,,,,,,,,,,,,Q57313550,Q57313550,Q57313594,Q57313594
7,Q57313594,Q57313594,,,,,,,,,,,,,,,Q57313570,Q57313570,Q57313623,Q57313623
8,Q57313623,Q57313623,,,,,,,,,,,,,,,Q57313594,Q57313594,Q57313679,Q57313679
9,Q57313679,Q57313679,,,,,,,,,,,,,,,Q57313623,Q57313623,Q57313684,Q57313684
10,Q57313684,Q57313684,,,,,,,,,,,,,,,Q57313679,Q57313679,Q57313692,Q57313692
11,Q57313692,Q57313692,,,,,,,,,,,,,,,Q57313684,Q57313684,Q57313700,Q57313700
12,Q57313700,Q57313700,,,,,,,,,,,,,,,Q57313692,Q57313692,Q57313706,Q57313706
13,Q57313706,Q57313706,,,,,,,,,,,,,,,Q57313700,Q57313700,Q57313717,Q57313717
14,Q57313717,Q57313717,,,,,,,,,,,,,,,Q57313706,Q57313706,Q57313734,Q57313734
15,Q57313734,Q57313734,,,,,,,,,,,,,,,Q57313717,Q57313717,Q57313742,Q57313742
16,Q57313742,Q57313742,,,,,,,,,,,,,,,Q57313734,Q57313734,Q57313750,Q57313750
17,Q57313750,Q57313750,,,,,,,,,,,,,,,Q57313742,Q57313742,Q57313754,Q57313754
18,Q57313754,Q57313754,,,,,,,,,,,,,,,Q57313750,Q57313750,Q57313759,Q57313759
19,Q57313759,Q57313759,,,,,,,,,,,,,,,Q57313754,Q57313754,Q57313768,Q57313768
20,Q57313768,Q57313768,,,,,,,,,,,,,,,Q57313759,Q57313759,Q57313778,Q57313778
21,Q57313778,Q57313778,,,,,,,,,,,,,,,Q57313768,Q57313768,Q57313783,Q57313783
22,Q57313783,Q57313783,,,,,,,,,,,,,,,Q57313778,Q57313778,Q57313792,Q57313792
23,Q57313792,Q57313792,,,,,,,,,,,,,,,Q57313783,Q57313783,Q57313803,Q57313803
24,Q57313803,Q57313803,,,,,,,,,,,,,,,Q57313792,Q57313792,Q57313815,Q57313815
25,Q57313815,Q57313815,,,,,,,,,,,,,,,Q57313803,Q57313803,Q57313829,Q57313829
26,Q57313829,Q57313829,,,,,,,,,,,,,,,Q57313815,Q57313815,Q57313839,Q57313839
27,Q57313839,Q57313839,,,,,,,,,,,,,,,Q57313829,Q57313829,Q57313860,Q57313860
28,Q57313860,Q57313860,,,,,,,,,,,,,,,Q57313839,Q57313839,Q57313875,Q57313875
29,Q57313875,Q57313875,,,,,,,,,,,,,,,Q57313860,Q57313860,Q57313891,Q57313891
30,Q57313891,Q57313891,,,,,,,,,,,,,,,Q57313875,Q57313875,Q57313895,Q57313895
31,Q57313895,Q57313895,,,,,,,,,,,,,,,Q57313891,Q57313891,Q57313903,Q57313903
32,Q57313903,Q57313903,,,,,,,,,,,,,,,Q57313895,Q57313895,Q57313911,Q57313911
33,Q57313911,Q57313911,,,,,,,,,,,,,,,Q57313903,Q57313903,Q57313918,Q57313918
34,Q57313918,Q57313918,,,,,,,,,,,,,,,Q57313911,Q57313911,Q57313922,Q57313922
35,Q57313922,Q57313922,,,,,,,,,,,,,,,Q57313918,Q57313918,Q57313926,Q57313926
36,Q57313926,Q57313926,,,,,,,,,,,,,,,Q57313922,Q57313922,Q57313470,Q57313470
39,Q50779378,Term for House of Representatives 39th general election,1990-02-18,1993-06-18,1990-02-18,11,,,1993-06-18,11,,,,,,,Q50779623,Term for House of Representatives 38th general election,Q41893001,Term for House of Representatives 40th general election
40,Q41893001,Term for House of Representatives 40th general election,1993-07-18,1996-09-27,1993-07-18,11,,,1996-09-27,11,,,,,,,Q57313439,Q57313439,Q41892855,Term for House of Representatives 41st general election
41,Q41892855,Term for House of Representatives 41st general election,1996-10-20,2000-06-02,1996-10-20,11,,,2000-06-02,11,,,,,,,Q41893001,Term for House of Representatives 40th general election,Q41892655,Term for House of Representatives 42nd general election
42,Q41892655,Term for House of Representatives 42nd general election,2000-06-25,2003-10-10,2000-06-25,11,,,2003-10-10,11,,,,,,,Q41892855,Term for House of Representatives 41st general election,Q41892385,Term for House of Representatives 43rd general election
43,Q41892385,Term for House of Representatives 43rd general election,2003-11-09,2005-08-08,2003-11-09,11,,,2005-08-08,11,,,,,,,Q41892655,Term for House of Representatives 42nd general election,Q41892049,Term for House of Representatives 44th general election
44,Q41892049,Term for House of Representatives 44th general election,2005-09-11,2009-07-21,2005-09-11,11,,,2009-07-21,11,,,,,,,Q41892385,Term for House of Representatives 43rd general election,Q41806822,Term for House of Representatives 45th general election
45,Q41806822,Term for House of Representatives 45th general election,2009-08-31,2012-11-16,2009-08-31,11,,,2012-11-16,11,,,,,,,Q41892049,Term for House of Representatives 44th general election,Q41806816,Term for House of Representatives 46th general election
46,Q41806816,Term for House of Representatives 46th general election,2012-12-16,2014-11-21,2012-12-16,11,,,2014-11-21,11,,,,,,,Q41806822,Term for House of Representatives 45th general election,Q41654707,Term for House of Representatives 47th general election
47,Q41654707,Term for House of Representatives 47th general election,2014-12-14,2017-09-28,2014-12-14,11,,,2017-09-28,11,,,,,,,Q41806816,Term for House of Representatives 46th general election,Q41655079,Term for House of Representatives 48th general election
48,Q41655079,Term for House of Representatives 48th general election,2017-11-01,,2017-11-01,11,,,,,,,,,,,Q41654707,Term for House of Representatives 47th general election,,
